x,y,z
-7542.4995,-5405.1918,-11831.6065
-7621.4207,-4957.6078,-11706.8749
-7652.3573,-4782.1574,-11707.4283
-7676.0909,-4647.5572,-11717.6489
-7697.3915,-4526.7557,-11719.0254
-7716.3735,-4419.1036,-11719.5489
-7733.5954,-4321.433,-11719.1843
-7756.8422,-4189.5939,-11716.5987
-7772.6358,-4100.024,-11713.6312
-7795.778,-3968.7783,-11713.1312
-9842.0276,-4337.4235,-11710.4429
-9890.2928,-4253.8256,-11705.1348
-9943.3512,-4161.9258,-11703.1946
-10002.8333,-4058.8998,-11698.3855
-10071.9227,-3939.2334,-11690.573
-10275.9458,-3585.855,-11872.2671
-10418.7226,-3338.5585,-11859.1143
-10608.5812,-3009.7137,-11828.0323
-10838.9652,-2610.6768,-11741.8624
-11138.7888,-2091.3672,-11584.1192
-11447.6173,-1556.4605,-11295.4348
-11896.5106,-778.9544,-10851.1873
-12231.2106,-199.237,-10221.4513
-12236.6369,-189.8385,-9591.2697
-12150.2299,-339.4997,-8990.3363
-12045.0111,-521.7441,-8391.3326
-11930.1853,-720.6282,-7773.9246
-11806.2318,-935.322,-7113.5607
-11567.8633,-1348.1883,-6624.2979
-11199.1665,-1986.7899,-6506.9104
-10982.2927,-2362.4264,-5932.0199
-10729.2898,-2800.6402,-5324.4636
-10444.8245,-3293.3486,-4522.1749
-10033.5319,-4005.7284,-4889.6086
-9544.8453,-4852.1582,-3930.5992
-8908.356,-5954.5902,-1852.5885
-8349.4732,-6922.6035,-2211.5079
-8028.3672,-7478.7754,-3486.9619
-7788.3934,-7894.4222,-4598.6496
-7571.0423,-8270.8854,-5511.0588
-7414.36,-8542.2671,-6391.2331
-7333.933,-8681.5708,-7261.6513
-7192.6128,-8926.3446,-7951.3223
-7057.5892,-9160.2122,-8620.0522
-6989.7125,-9277.7782,-9322.063
-7103.9483,-9079.9159,-10070.5159
-7562.0232,-8286.507,-10839.9967
-7844.5948,-7797.0786,-11319.3206
-8088.4965,-7374.6284,-11686.548
-8315.652,-6981.1836,-11963.7235
-8802.4974,-6137.9426,-11922.806
-9152.452,-5531.8035,-11772.9987
-9350.8422,-5188.1815,-11691.889
-9430.2692,-5050.6099,-11706.3815
-9499.3419,-4930.9724,-11712.8864
-9558.972,-4827.6901,-11716.8726
-9613.0286,-4734.0614,-11715.5138
-9661.9807,-4649.2738,-11717.8398
-9730.8836,-4529.9305,-11714.9196
-9775.7218,-4452.2685,-11709.4467
-9842.0276,-4337.4235,-11710.4429
-11341.2077,-6564.4534,-3599.9221
-11616.0082,-5718.7044,-2140.5602
-11985.1204,-4582.6938,-1733.92
-12325.9111,-3533.8481,-2055.3475
-12505.5848,-2980.8691,-3745.3139
-12695.0522,-2397.7485,-4631.9027
-12901.5626,-1762.1749,-5227.0709
-13078.7854,-1216.7391,-5889.0318
-13239.1194,-723.2819,-6563.6075
-13331.7626,-438.1552,-7369.1972
-13381.6244,-284.6966,-8186.6642
-13428.7824,-139.5592,-8953.2744
-13455.3839,-57.6881,=
-13277.791,-604.2629,-10491.5436
-13037.8495,-1342.7268,-11122.5269
-12786.7013,-2115.6815,-11557.7939
-12438.5417,-3187.2068,-11764.4753
-12241.2708,-3794.344,-11838.2586
-12097.1824,-4237.8025,-11869.6334
-11999.9581,-4537.0282,-11885.7556
-11919.2241,-4785.5019,-11871.0119
-11819.9303,-5091.0967,-11709.7893
-11781.0643,-5210.7139,-11714.5113
-11747.1948,-5314.9537,-11720.3709
-11715.4787,-5412.5657,-11722.8575
-11685.8763,-5503.6724,-11725.5454
-11656.9891,-5592.5783,-11728.5321
-11627.9541,-5681.9389,-11726.4831
-11597.4483,-5775.826,-11735.793
-11565.0675,-5875.4836,-11739.4635
-11530.0939,-5983.1213,-11735.3978
-11489.3927,-6108.387,-11736.9257
-11440.1583,-6259.9147,-11741.7741
-11375.6972,-6458.3056,-11752.783
-11218.2004,-6943.0309,-11895.2325
